"Dam","Year","Month","Dam_Other","Capacity","PercentTotalCapacity","Date"
"Alexandra",2012,1,"Other",134,0.000102874043592876,2012-01-16
"Alexandra",2012,2,"Other",134,6.27442981396205e-05,2012-02-15
"Alexandra",2012,3,"Other",134,4.77787853324672e-05,2012-03-16
"Alexandra",2012,4,"Other",134,5.59821034637957e-05,2012-04-15
"Alexandra",2012,5,"Other",134,7.593612054e-05,2012-05-16
"Alexandra",2012,6,"Other",134,9.91049514784818e-05,2012-06-15
"Alexandra",2012,7,"Other",134,0.000119724102457226,2012-07-16
"Alexandra",2012,8,"Other",134,0.000118393834652146,2012-08-16
"Alexandra",2012,9,"Other",134,0.000146329458558832,2012-09-15
"Alexandra",2012,10,"Other",134,0.000144777479452905,2012-10-16
"Alexandra",2012,11,"Other",134,0.000122495493717811,2012-11-15
"Alexandra",2012,12,"Other",134,0.000101765487088642,2012-12-16
"Alexandra",2013,1,"Other",134,8.30308821670949e-05,2013-01-16
"Alexandra",2013,2,"Other",134,7.08367606205256e-05,2013-02-14
"Alexandra",2013,3,"Other",134,2.76030569554161e-05,2013-03-16
"Alexandra",2013,4,"Other",134,3.38109733791241e-05,2013-04-15
"Alexandra",2013,5,"Other",134,7.29430179785694e-05,2013-05-16
"Alexandra",2013,6,"Other",134,9.88278123524234e-05,2013-06-15
"Alexandra",2013,7,"Other",134,0.000102541476641606,2013-07-16
"Alexandra",2013,8,"Other",134,0.000144334056851212,2013-08-16
"Alexandra",2013,9,"Other",134,0.000148768282868146,2013-09-15
"Alexandra",2013,10,"Other",134,0.000132805069207183,2013-10-16
"Alexandra",2013,11,"Other",134,0.000138236996077927,2013-11-15
"Alexandra",2013,12,"Other",134,0.000117839556400029,2013-12-16
"Alexandra",2014,1,"Other",134,9.83289619255183e-05,2014-01-16
"Alexandra",2014,2,"Other",134,8.19223256628614e-05,2014-02-14
"Alexandra",2014,3,"Other",134,7.1280183222219e-05,2014-03-16
"Alexandra",2014,4,"Other",134,7.2832162328146e-05,2014-04-15
"Alexandra",2014,5,"Other",134,6.83979363112117e-05,2014-05-16
"Alexandra",2014,6,"Other",134,0.000144555768152058,2014-06-15
"Alexandra",2014,7,"Other",134,0.000148768282868146,2014-07-16
"Alexandra",2014,8,"Other",134,0.000148768282868146,2014-08-16
"Alexandra",2014,9,"Other",134,0.000128703410141518,2014-09-15
"Alexandra",2014,10,"Other",134,0.000108305970463621,2014-10-16
"Alexandra",2014,11,"Other",134,8.85736646882628e-05,2014-11-15
"Alexandra",2014,12,"Other",134,6.95064928154453e-05,2014-12-16
"Alexandra",2015,1,"Other",134,5.93077729764964e-05,2015-01-16
"Alexandra",2015,2,"Other",134,5.9030633850438e-05,2015-02-14
"Alexandra",2015,3,"Other",134,5.02176096417811e-05,2015-03-16
"Alexandra",2015,4,"Other",134,1.09747093919124e-05,2015-04-15
"Alexandra",2015,5,"Other",134,0,2015-05-16
"Alexandra",2015,6,"Other",134,1.70163423399854e-05,2015-06-15
"Alexandra",2015,7,"Other",134,3.08178708176934e-05,2015-07-16
